name,author_name,author_movement,genre
The Letter Left to Me,Joseph McElroy,Postmodern literature,Postmodernism
A Escrava Isaura (novel),Bernardo Guimar�es,Romanticism,Propaganda
The Rise and Fall of Comrade Zylo,Drit�ro Agolli,Postmodern literature,Satire
"Young Lover, New Lover",Muhammad Aladdin,Postmodern literature,Short story
The Twenty-Second Day,Muhammad Aladdin,Postmodern literature,Novel
O Ateneu,Raul Pompeia,Impressionism (literature),Novel
O Ateneu,Raul Pompeia,Literary realism,Novel
The Gospel According to Adam,Muhammad Aladdin,Postmodern literature,Novel
O Ateneu,Raul Pompeia,Naturalism (literature),Novel
Down These Mean Streets,Piri Thomas,Nuyorican,Memoir
Song of the Swallows,Leo Politi,Multiculturalism,Picture book
Annie on My Mind,Nancy Garden,LGBT literature,Young-adult fiction
The Bad Seed,William March,Lost Generation,Psychological horror
The Soft Centre,James Hadley Chase,Golden Age of Detective Fiction,Crime fiction
Come in at the Door,William March,Lost Generation,Southern Gothic
The Tallons,William March,Lost Generation,Southern Gothic
The Violent Bear It Away,Flannery O'Connor,Christian Realism,Southern Gothic
Wise Blood,Flannery O'Connor,Christian Realism,Southern Gothic
A Good Man Is Hard to Find,Flannery O'Connor,Christian Realism,Southern Gothic
The Complete Stories (O'Connor),Flannery O'Connor,Christian Realism,Southern Gothic
The Rules of Attraction,Bret Easton Ellis,Postmodern literature,Black comedy
American Psycho,Bret Easton Ellis,Postmodern literature,Postmodern literature
Iracema,Jos� de Alencar,Romanticism,Romance novel
Dinner Party (play),Pier Vittorio Tondelli,Postmodernism,Play (theatre)
You Can Say That Again,James Hadley Chase,Golden Age of Detective Fiction,Thriller (genre)
The General in His Labyrinth,Gabriel Garc�a M�rquez,Magic realism,Dictator novel
The General in His Labyrinth,Gabriel Garc�a M�rquez,Latin American Boom,Dictator novel
American Psycho,Bret Easton Ellis,Postmodern literature,Transgressive fiction
The Beautiful Things That Heaven Bears,Dinaw Mengestu,Postmodern literature,Fiction
The Beautiful Things That Heaven Bears,Dinaw Mengestu,Realism (arts),Fiction
Metroland (novel),Julian Barnes,Postmodern literature,Bildungsroman
Opening Night (novel),Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
The Nursing Home Murder,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
False Scent,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Light Thickens,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Overture to Death,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Artists in Crime,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
A Man Lay Dead,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Photo Finish (novel),Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Surfeit of Lampreys,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Death in Ecstasy,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Scales of Justice (novel),Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
When in Rome (novel),Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Swing Brother Swing,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Black as He's Painted,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Clutch of Constables,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Colour Scheme,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Dead Water (novel),Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Death and the Dancing Footman,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Death at the Dolphin,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Death in a White Tie,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Died in the Wool,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Enter a Murderer,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Grave Mistake,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Hand in Glove (novel),Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Last Ditch,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Off with His Head,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Singing in the Shrouds,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Spinsters in Jeopardy,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Tied Up in Tinsel,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Vintage Murder,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Death at the Bar,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
Final Curtain,Ngaio Marsh,Golden Age of Detective Fiction,Detective fiction
The Songs of Bilitis,Pierre Lou�s,Symbolism (arts),Erotica
Fleeting Rome,Carlo Levi,Contemporary art,Essay
99 Fables,William March,Lost Generation,Fable
Lunar Park,Bret Easton Ellis,Postmodern literature,Horror fiction
Fleeting Rome,Carlo Levi,Contemporary art,Photography
The Songs of Bilitis,Pierre Lou�s,Symbolism (arts),Poetry
The Porcupine,Julian Barnes,Postmodern literature,Political fiction
The Rules of Attraction,Bret Easton Ellis,Postmodern literature,Satire
Glamorama,Bret Easton Ellis,Postmodern literature,Satire
American Psycho,Bret Easton Ellis,Postmodern literature,Satire
The Garments of Caean,Barrington J. Bayley,New Wave science fiction,Science fiction
The Sinners of Erspia,Barrington J. Bayley,New Wave science fiction,Science fiction
The Star Virus,Barrington J. Bayley,New Wave science fiction,Science fiction
The Great Hydration,Barrington J. Bayley,New Wave science fiction,Science fiction
The Fall of Chronopolis,Barrington J. Bayley,New Wave science fiction,Science fiction
Annihilation Factor,Barrington J. Bayley,New Wave science fiction,Science fiction
The Seed of Evil,Barrington J. Bayley,New Wave science fiction,Science fiction
Empire of Two Worlds,Barrington J. Bayley,New Wave science fiction,Science fiction
The Soul of the Robot,Barrington J. Bayley,New Wave science fiction,Science fiction
The Grand Wheel,Barrington J. Bayley,New Wave science fiction,Science fiction
The Pillars of Eternity,Barrington J. Bayley,New Wave science fiction,Science fiction
The Forest of Peldain,Barrington J. Bayley,New Wave science fiction,Science fiction
Collision Course (Bayley novel),Barrington J. Bayley,New Wave science fiction,Science fiction
Star Winds,Barrington J. Bayley,New Wave science fiction,Science fiction
The Knights of the Limits,Barrington J. Bayley,New Wave science fiction,Science fiction
The Rod of Light,Barrington J. Bayley,New Wave science fiction,Science fiction
The Zen Gun,Barrington J. Bayley,New Wave science fiction,Science fiction
Trial Balance: The Collected Short Stories of William March,William March,Lost Generation,Short story
Everything That Rises Must Converge,Flannery O'Connor,Christian Realism,Short story
Arthur & George,Julian Barnes,Postmodern literature,Historical fiction
Alfarr�bios,Jos� de Alencar,Romanticism,Historical fiction
The General in His Labyrinth,Gabriel Garc�a M�rquez,Magic realism,Historical fiction
The General in His Labyrinth,Gabriel Garc�a M�rquez,Latin American Boom,Historical fiction
Love Creeps,Amanda Filipacchi,Postmodern literature,Novel
The History of Love,Nicole Krauss,Postmodern literature,Novel
Vapor (novel),Amanda Filipacchi,Postmodern literature,Novel
Nude Men,Amanda Filipacchi,Postmodern literature,Novel
The Porcupine,Julian Barnes,Postmodern literature,Novel
The Family of Pascual Duarte,Camilo Jos� Cela,Generation of '36,Novel
October Island,William March,Lost Generation,Novel
Company K,William March,Lost Generation,Novel
Khasakkinte Itihasam,O. V. Vijayan,Modernism,Novel
One Hundred Years of Solitude,Gabriel Garc�a M�rquez,Magic realism,Novel
Khasakkinte Itihasam,O. V. Vijayan,Magic realism,Novel
One Hundred Years of Solitude,Gabriel Garc�a M�rquez,Latin American Boom,Novel
"England, England",Julian Barnes,Postmodern literature,Farce
One Hundred Years of Solitude,Gabriel Garc�a M�rquez,Magic realism,Magic realism
One Hundred Years of Solitude,Gabriel Garc�a M�rquez,Latin American Boom,Magic realism
The Hive (novel),Camilo Jos� Cela,Generation of '36,Experimental literature
Tarzan: The Lost Adventure,Joe R. Lansdale,Splatterpunk,Adventure fiction
Schilder-boeck,Karel van Mander,Mannerism,Biography
Hot in December,Joe R. Lansdale,Splatterpunk,Crime fiction
The Thicket (novel),Joe R. Lansdale,Splatterpunk,Crime fiction
Edge of Dark Water,Joe R. Lansdale,Splatterpunk,Crime fiction
Schilder-boeck,Karel van Mander,Mannerism,Visual arts education
The Dream Songs,John Berryman,Confessional poetry,American poetry
Second Skin (novel),John Hawkes (novelist),Postmodernism,Postmodern literature
The Cannibal (novel),John Hawkes (novelist),Postmodernism,Postmodern literature
The Lime Twig,John Hawkes (novelist),Postmodernism,Postmodern literature
Atomic Chili,Joe R. Lansdale,Splatterpunk,Graphic novel
Bumper Crop,Joe R. Lansdale,Splatterpunk,Short story collection
High Cotton: Selected Stories of Joe R. Lansdale,Joe R. Lansdale,Splatterpunk,Short story collection
Writer of the Purple Rage,Joe R. Lansdale,Splatterpunk,Short story collection
Sanctified and Chicken Fried,Joe R. Lansdale,Splatterpunk,Short story collection
Bleeding Shadows,Joe R. Lansdale,Splatterpunk,Short story collection
Lost Lansdale Series,Joe R. Lansdale,Splatterpunk,Short story collection
The First Death,Dimitris Lyacos,Postmodern literature,Expressionism
Boy Wonder (novel),James Robert Baker,Transgressive fiction,Transgressive fiction
Noite (novel),Erico Verissimo,Modernism,Drama
Go Set a Watchman,Harper Lee,Southern Gothic,Fiction
Winter in the Blood,James Welch (writer),Native American Renaissance,Fiction
"At Swim, Two Boys",Jamie O'Neill,Stream of consciousness (narrative mode),Fiction
Schilder-boeck,Karel van Mander,Mannerism,Aesthetics
Prisoner 489,Joe R. Lansdale,Splatterpunk,Horror fiction
"The Shadows, Kith and Kin",Joe R. Lansdale,Splatterpunk,Horror fiction
Christmas with the Dead (short story),Joe R. Lansdale,Splatterpunk,Horror fiction
By Bizarre Hands Rides Again,Joe R. Lansdale,Splatterpunk,Horror fiction
Crawling Sky,Joe R. Lansdale,Splatterpunk,Horror fiction
Bleeding Shadows,Joe R. Lansdale,Splatterpunk,Horror fiction
Trapped in the Saturday Matinee,Joe R. Lansdale,Splatterpunk,Horror fiction
Deadman's Road,Joe R. Lansdale,Splatterpunk,Horror fiction
Son of Retro Pulp Tales,Joe R. Lansdale,Splatterpunk,Horror fiction
The Best of Joe R. Lansdale,Joe R. Lansdale,Splatterpunk,Horror fiction
The God of the Razor,Joe R. Lansdale,Splatterpunk,Horror fiction
Unchained and Unhinged,Joe R. Lansdale,Splatterpunk,Horror fiction
The First Death,Dimitris Lyacos,Postmodern literature,Poetry
Altazor,Vicente Huidobro,Creacionismo,Poetry
Z213: Exit,Dimitris Lyacos,Postmodern literature,Postmodernism
With the People from the Bridge,Dimitris Lyacos,Postmodern literature,Postmodernism
Boy Wonder (novel),James Robert Baker,Transgressive fiction,Satire
Jonah Hex: Shadows West,Joe R. Lansdale,Splatterpunk,Science fiction
The Ape Man's Brother,Joe R. Lansdale,Splatterpunk,Science fiction
A Little Green Book of Monster Stories,Joe R. Lansdale,Splatterpunk,Short story
The Dream Songs,John Berryman,Confessional poetry,Confessional poetry
The Cosmology of Bing,Mitch Cullin,LGBT literature,Novel
Moscow-Petushki,Venedikt Yerofeyev,Postmodern literature,Novel
The Cosmology of Bing,Mitch Cullin,Postmodern literature,Novel
Freezer Burn (novel),Joe R. Lansdale,Splatterpunk,Novel
Act of Love (novel),Joe R. Lansdale,Splatterpunk,Novel
The Big Blow (novel),Joe R. Lansdale,Splatterpunk,Novel
Savage Season,Joe R. Lansdale,Splatterpunk,Novel
The King and Other Stories,Joe R. Lansdale,Splatterpunk,Novel
A Fine Dark Line,Joe R. Lansdale,Splatterpunk,Novel
Mad Dog Summer and Other Stories,Joe R. Lansdale,Splatterpunk,Novel
Dead in the West,Joe R. Lansdale,Splatterpunk,Novel
Leather Maiden,Joe R. Lansdale,Splatterpunk,Novel
Mucho Mojo,Joe R. Lansdale,Splatterpunk,Novel
The Boar (novel),Joe R. Lansdale,Splatterpunk,Novel
The Bottoms (novel),Joe R. Lansdale,Splatterpunk,Novel
The Vortex (novel),Jos� Eustasio Rivera,Modernismo,Novel
54 (novel),Wu Ming,New Italian Epic,Novel
Z213: Exit,Dimitris Lyacos,Postmodern literature,World literature
With the People from the Bridge,Dimitris Lyacos,Postmodern literature,World literature
"The Good, The Bad, and the Indifferent",Joe R. Lansdale,Splatterpunk,Mystery fiction
Triple Feature,Joe R. Lansdale,Splatterpunk,Mystery fiction
"All the Earth, Thrown to the Sky",Joe R. Lansdale,Splatterpunk,Mystery fiction
Noite (novel),Erico Verissimo,Modernism,Mystery fiction
Black Hat Jack,Joe R. Lansdale,Splatterpunk,Western fiction
"All the Earth, Thrown to the Sky",Joe R. Lansdale,Splatterpunk,Young-adult fiction
Schilder-boeck,Karel van Mander,Mannerism,Art history
The House with the Green Shutters,George Douglas Brown,Scottish Renaissance,Literary realism
The Flight to Lucifer,Harold Bloom,Aestheticism,Fantasy literature
The Flight to Lucifer,Harold Bloom,Romanticism,Fantasy literature
"Come, Tell Me How You Live",Agatha Christie,Golden Age of Detective Fiction,Travel literature
The Yage Letters,Allen Ginsberg,Beat Generation,Drug culture
The Body in the Library,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Crooked House,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Death in the Clouds,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Sleeping Murder,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Cards on the Table,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Murder of Roger Ackroyd,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Hallowe'en Party,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Black Coffee (novel),Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Curtain (novel),Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Mirror Crack'd from Side to Side,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Murder on the Links,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Destination Unknown (novel),Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Mystery of the Blue Train,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Problem at Pollensa Bay and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
While the Light Lasts and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Scoop and Behind the Screen,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
A Caribbean Mystery,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
And Then There Were None,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Hercule Poirot's Christmas,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Sad Cypress,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Mysterious Affair at Styles,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Three Act Tragedy,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Dead Man's Folly,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Evil Under the Sun,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Five Little Pigs,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Adventure of the Christmas Pudding,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Man in the Brown Suit,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Moving Finger,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Appointment with Death,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Elephants Can Remember,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Murder at the Vicarage,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Sittaford Mystery,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
"One, Two, Buckle My Shoe (novel)",Agatha Christie,Golden Age of Detective Fiction,Crime fiction
4.50 from Paddington,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
At Bertram's Hotel,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Lord Edgware Dies,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
A Pocket Full of Rye,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
By the Pricking of My Thumbs,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Cat Among the Pigeons,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Endless Night,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Hickory Dickory Dock (novel),Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Mrs McGinty's Dead,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Murder Is Easy,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Ordeal by Innocence,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Parker Pyne Investigates,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Postern of Fate,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Sparkling Cyanide,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Taken at the Flood,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Labours of Hercules,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Pale Horse,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
They Do It with Mirrors,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Third Girl,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Towards Zero,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Dumb Witness,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Murder in Mesopotamia,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Regatta Mystery,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
A Murder Is Announced,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Death on the Nile,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Clocks,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Hollow,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The A.B.C. Murders,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Murder on the Orient Express,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Slan,A. E. van Vogt,Golden Age of Science Fiction,List of science fiction novels
Null-A Three,A. E. van Vogt,Golden Age of Science Fiction,List of science fiction novels
Empire of the Atom,A. E. van Vogt,Golden Age of Science Fiction,List of science fiction novels
The Voyage of the Space Beagle,A. E. van Vogt,Golden Age of Science Fiction,List of science fiction novels
The Book of Ptath,A. E. van Vogt,Golden Age of Science Fiction,List of science fiction novels
Star Over Bethlehem,Agatha Christie,Golden Age of Detective Fiction,Short story collection
Death Comes as the End,Agatha Christie,Golden Age of Detective Fiction,Historical mystery
The Yage Letters,Allen Ginsberg,Beat Generation,Autobiography
Three Blind Mice and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
The Witness for the Prosecution and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
Murder in the Mews,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
The Listerdale Mystery,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
The Mysterious Mr Quin,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
Double Sin and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
Miss Marple's Final Cases and Two Other Stories,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
The Golden Ball and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
The Thirteen Problems,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
The Under Dog and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
Partners in Crime (short story collection),Agatha Christie,Golden Age of Detective Fiction,Detective fiction
Poirot Investigates,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
The Harlequin Tea Set,Agatha Christie,Golden Age of Detective Fiction,Detective fiction
The Yage Letters,Allen Ginsberg,Beat Generation,Letter (message)
The Pawns of Null-A,A. E. van Vogt,Golden Age of Science Fiction,Science fiction
The Mixed Men,A. E. van Vogt,Golden Age of Science Fiction,Science fiction
The World of Null-A,A. E. van Vogt,Golden Age of Science Fiction,Science fiction
The Universe Maker,A. E. van Vogt,Golden Age of Science Fiction,Science fiction
M33 in Andromeda,A. E. van Vogt,Golden Age of Science Fiction,Science fiction
The Weapon Shops of Isher,A. E. van Vogt,Golden Age of Science Fiction,Science fiction
Machine of Death,Ryan North,Webcomic,Science fiction
This Is How You Die,Ryan North,Webcomic,Science fiction
"Aleriel, or A Voyage to Other Worlds",W. S. Lach-Szyrma,Victorian literature,Science fiction
Three Blind Mice and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Short story
The Hound of Death,Agatha Christie,Golden Age of Detective Fiction,Short story
The Witness for the Prosecution and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Short story
The Mysterious Mr Quin,Agatha Christie,Golden Age of Detective Fiction,Short story
Double Sin and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Short story
The Golden Ball and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Short story
The Thirteen Problems,Agatha Christie,Golden Age of Detective Fiction,Short story
The Under Dog and Other Stories,Agatha Christie,Golden Age of Detective Fiction,Short story
Partners in Crime (short story collection),Agatha Christie,Golden Age of Detective Fiction,Short story
Poirot Investigates,Agatha Christie,Golden Age of Detective Fiction,Short story
The Harlequin Tea Set,Agatha Christie,Golden Age of Detective Fiction,Short story
Passenger to Frankfurt,Agatha Christie,Golden Age of Detective Fiction,Spy fiction
The Clocks,Agatha Christie,Golden Age of Detective Fiction,Spy fiction
Unfinished Portrait (novel),Agatha Christie,Golden Age of Detective Fiction,Tragedy
Absent in the Spring,Agatha Christie,Golden Age of Detective Fiction,Tragedy
Giant's Bread,Agatha Christie,Golden Age of Detective Fiction,Tragedy
The Rose and the Yew Tree,Agatha Christie,Golden Age of Detective Fiction,Tragedy
A Daughter's a Daughter,Agatha Christie,Golden Age of Detective Fiction,Tragedy
The Valley of the Squinting Windows,Brinsley MacNamara,Irish Literary Revival,Novel
The Floating Admiral,Agatha Christie,Golden Age of Detective Fiction,Mystery fiction
To Be or Not to Be (book),Ryan North,Webcomic,Comedy
They Came to Baghdad,Agatha Christie,Golden Age of Detective Fiction,Adventure fiction
Against Sadomasochism,Ti-Grace Atkinson,Feminism,Anthology
Against Sadomasochism,Ti-Grace Atkinson,Radical feminism,Anthology
They Came to Baghdad,Agatha Christie,Golden Age of Detective Fiction,Political thriller
The Big Four (novel),Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Peril at End House,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Secret Adversary,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Poirot's Early Cases,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Seven Dials Mystery,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Unexpected Guest (novel),Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Nemesis (Christie novel),Agatha Christie,Golden Age of Detective Fiction,Crime fiction
The Secret of Chimneys,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Spider's Web (novel),Agatha Christie,Golden Age of Detective Fiction,Crime fiction
After the Funeral,Agatha Christie,Golden Age of Detective Fiction,Crime fiction
Out of the Unknown (collection),A. E. van Vogt,Golden Age of Science Fiction,Fantasy
The Weapon Makers,A. E. van Vogt,Golden Age of Science Fiction,List of science fiction novels
Rogue Ship,A. E. van Vogt,Golden Age of Science Fiction,List of science fiction novels
Children of Tomorrow,A. E. van Vogt,Golden Age of Science Fiction,List of science fiction novels
The Wizard of Linn,A. E. van Vogt,Golden Age of Science Fiction,List of science fiction novels
The House That Stood Still,A. E. van Vogt,Golden Age of Science Fiction,List of science fiction novels
Monsters (collection),A. E. van Vogt,Golden Age of Science Fiction,Science fiction
Masters of Time,A. E. van Vogt,Golden Age of Science Fiction,Science fiction
Destination: Universe!,A. E. van Vogt,Golden Age of Science Fiction,Science fiction
Quest for the Future,A. E. van Vogt,Golden Age of Science Fiction,Science fiction
White-Jacket,Herman Melville,Romanticism,Adventure fiction
Some Notes on H. P. Lovecraft,August Derleth,Cosmicism,Biography
The Elfin Ship,James Blaylock,Steampunk,Fantasy literature
An Apology for the Life of Mrs. Shamela Andrews,Henry Fielding,Augustan literature,Parody
Asimov's Guide to Shakespeare,Isaac Asimov,Golden Age of Science Fiction,Literature
"Pierre: or, The Ambiguities",Herman Melville,Romanticism,Psychological novel
Chronopolis (short story),J. G. Ballard,New Wave science fiction,Social science fiction
Notes from Underground,Fyodor Dostoyevsky,Literary realism,Philosophy
Omoo,Herman Melville,Romanticism,Travel literature
The Tenant of Wildfell Hall,Anne Bront�,Realism (arts),Social criticism
"The Stars, Like Dust",Isaac Asimov,Golden Age of Science Fiction,Whodunit
Kingdom Come (Ballard novel),J. G. Ballard,New Wave science fiction,Crime fiction
Running Wild (novella),J. G. Ballard,New Wave science fiction,Novella
Notes from Underground,Fyodor Dostoyevsky,Literary realism,Novella
At the Mountains of Madness and Other Novels,H. P. Lovecraft,Cosmicism,Fantasy
Beyond the Wall of Sleep (collection),H. P. Lovecraft,Cosmicism,Fantasy
Mr. George and Other Odd Persons,August Derleth,Cosmicism,Fantasy
Fire and Sleet and Candlelight,August Derleth,Cosmicism,Fantasy
The Dreams in the Witch House and Other Weird Stories,H. P. Lovecraft,Cosmicism,Fantasy
The Dunwich Horror and Others,H. P. Lovecraft,Cosmicism,Fantasy
Dark of the Moon: Poems of Fantasy and the Macabre,August Derleth,Cosmicism,Fantasy
The Survivor and Others,August Derleth,Cosmicism,Fantasy
The Survivor and Others,H. P. Lovecraft,Cosmicism,Fantasy
Dagon and Other Macabre Tales,H. P. Lovecraft,Cosmicism,Fantasy
When Evil Wakes,August Derleth,Cosmicism,Fantasy
The Dream-Quest of Unknown Kadath,H. P. Lovecraft,Cosmicism,Fantasy
Harrigan's File,August Derleth,Cosmicism,Fantasy
Inside the Atom,Isaac Asimov,Golden Age of Science Fiction,Popular science
Foundation and Earth,Isaac Asimov,Golden Age of Science Fiction,List of science fiction novels
Robots and Empire,Isaac Asimov,Golden Age of Science Fiction,List of science fiction novels
Second Foundation,Isaac Asimov,Golden Age of Science Fiction,List of science fiction novels
The Lazarus Effect (novel),Frank Herbert,New Wave science fiction,List of science fiction novels
Hellstrom's Hive,Frank Herbert,New Wave science fiction,List of science fiction novels
The Godmakers (novel),Frank Herbert,New Wave science fiction,List of science fiction novels
The Wind from Nowhere,J. G. Ballard,New Wave science fiction,List of science fiction novels
The Jesus Incident,Frank Herbert,New Wave science fiction,List of science fiction novels
The Eyes of Heisenberg,Frank Herbert,New Wave science fiction,List of science fiction novels
Homunculus (novel),James Blaylock,Steampunk,List of science fiction novels
Battle-Pieces and Aspects of the War,Herman Melville,Romanticism,American poetry
Mardi,Herman Melville,Romanticism,Romance novel
A Thorn in the Bush,Frank Herbert,New Wave science fiction,Thriller (genre)
Mefisto in Onyx,Harlan Ellison,New Wave science fiction,Fiction
The Chronicles of Solar Pons,August Derleth,Cosmicism,Detective fiction
A Praed Street Dossier,August Derleth,Cosmicism,Detective fiction
The Casebook of Solar Pons,August Derleth,Cosmicism,Detective fiction
Asimov's Biographical Encyclopedia of Science and Technology,Isaac Asimov,Golden Age of Science Fiction,Encyclopedia
Poor Folk,Fyodor Dostoyevsky,Literary realism,Epistolary novel
The Tenant of Wildfell Hall,Anne Bront�,Realism (arts),Epistolary novel
Beyond the Wall of Sleep (collection),H. P. Lovecraft,Cosmicism,Essay
A Praed Street Dossier,August Derleth,Cosmicism,Essay
Fear and Loathing in Las Vegas,Hunter S. Thompson,New Journalism,Gonzo journalism
Hell's Angels: The Strange and Terrible Saga of the Outlaw Motorcycle Gangs,Hunter S. Thompson,New Journalism,Gonzo journalism
At the Mountains of Madness and Other Novels,H. P. Lovecraft,Cosmicism,Horror fiction
The Shadow Out of Time,H. P. Lovecraft,Cosmicism,Horror fiction
