name,author_name,author_movement,genre
Daylight Robbery (novel),Surender Mohan Pathak,Golden Age of Detective Fiction,Crime fiction
Fantomas contra los vampiros multinacionales,Julio Cort�zar,Latin American Boom,Crime fiction
The 65 Lakh Heist,Surender Mohan Pathak,Golden Age of Detective Fiction,Crime fiction
Wandering Stars (novel),Sholem Aleichem,Yiddish literature,Picaresque novel
Flight Without a Tun,Miho Mosulishvili,Postmodernism,Picaresque novel
Flight Without a Tun,Miho Mosulishvili,Modernism,Picaresque novel
A Change of Skin,Carlos Fuentes,Latin American Boom,Romance novel
Bestiario,Julio Cort�zar,Latin American Boom,Short story collection
Todos los fuegos el fuego,Julio Cort�zar,Latin American Boom,Short story collection
A Big She-Bear,Miho Mosulishvili,Postmodernism,Fiction
Helessa,Miho Mosulishvili,Modernism,Fiction
A Big She-Bear,Miho Mosulishvili,Modernism,Fiction
Helessa,Miho Mosulishvili,Postmodernism,Fiction
Nightwood,Djuna Barnes,Modernism,Modernism
Prosa del Observatorio,Julio Cort�zar,Latin American Boom,Poetry
Almanac of the Dead,Leslie Marmon Silko,Native American Renaissance,Novel
The Knight at All Times,Miho Mosulishvili,Postmodernism,Novel
Christopher Unborn,Carlos Fuentes,Latin American Boom,Novel
The Knight at All Times,Miho Mosulishvili,Modernism,Novel
The Crystal Frontier,Carlos Fuentes,Latin American Boom,Novel
A Dark Night's Passing,Naoya Shiga,I Novel,Novel
Nightwood,Djuna Barnes,Modernism,Gay literature
Geography Club,Brent Hartinger,Gay teen fiction,Gay teen fiction
The Elephant of Surprise,Brent Hartinger,Gay teen fiction,Gay teen fiction
Tam Lin (novel),Pamela Dean,Urban fantasy,Fantasy of manners
Tam Lin (novel),Pamela Dean,Fantasy of manners,Fantasy of manners
Tam Lin (novel),Pamela Dean,Contemporary fantasy,Fantasy of manners
The Via Veneto Papers,Ennio Flaiano,Humorism,Interview
The Via Veneto Papers,Ennio Flaiano,Italian neorealism,Interview
The Via Veneto Papers,Ennio Flaiano,Humorism,Memory
The Via Veneto Papers,Ennio Flaiano,Italian neorealism,Memory
The Hatchet (novel),Mihail Sadoveanu,Naturalism (literature),Crime fiction
The Hatchet (novel),Mihail Sadoveanu,Socialist realism,Crime fiction
The Hatchet (novel),Mihail Sadoveanu,Literary realism,Crime fiction
The Hatchet (novel),Mihail Sadoveanu,Social realism,Crime fiction
The Hatchet (novel),Mihail Sadoveanu,S?m?n?torul,Crime fiction
The Hatchet (novel),Mihail Sadoveanu,Poporanism,Crime fiction
Pinjar (novel),Amrita Pritam,Romanticism,Social novel
The Via Veneto Papers,Ennio Flaiano,Italian neorealism,Diary
The Via Veneto Papers,Ennio Flaiano,Humorism,Diary
The Rosales Saga,F. Sionil Jos�,Philippine literature in English,Fiction
"My Brother, My Executioner",F. Sionil Jos�,Philippine literature in English,Fiction
Ermita (novel),F. Sionil Jos�,Philippine literature in English,Fiction
Sherds (novel),F. Sionil Jos�,Philippine literature in English,Fiction
Tree (novel),F. Sionil Jos�,Philippine literature in English,Fiction
Vibora!,F. Sionil Jos�,Philippine literature in English,Fiction
Ben Singkol,F. Sionil Jos�,Philippine literature in English,Fiction
Three Filipino Women,F. Sionil Jos�,Philippine literature in English,Fiction
Viajero,F. Sionil Jos�,Philippine literature in English,Fiction
Sin (novel),F. Sionil Jos�,Philippine literature in English,Fiction
The Pretenders (novel),F. Sionil Jos�,Philippine literature in English,Fiction
Gagamba,F. Sionil Jos�,Philippine literature in English,Fiction
Caramuru (epic poem),Santa Rita Dur�o,Neoclassicism,Epic poetry
Devi Chaudhurani,Bankim Chandra Chattopadhyay,Bengali renaissance,Novel
Kapalkundala,Bankim Chandra Chattopadhyay,Bengali renaissance,Novel
Durgeshnandini,Bankim Chandra Chattopadhyay,Bengali renaissance,Novel
Tam Lin (novel),Pamela Dean,Urban fantasy,Urban fantasy
Tam Lin (novel),Pamela Dean,Fantasy of manners,Urban fantasy
Tam Lin (novel),Pamela Dean,Contemporary fantasy,Urban fantasy
Tam Lin (novel),Pamela Dean,Fantasy of manners,Contemporary fantasy
Tam Lin (novel),Pamela Dean,Contemporary fantasy,Contemporary fantasy
Tam Lin (novel),Pamela Dean,Urban fantasy,Contemporary fantasy
The Two Faces of January,Patricia Highsmith,Literary modernism,Psychological thriller
The Blunderer,Patricia Highsmith,Literary modernism,Psychological thriller
The Boy Who Followed Ripley,Patricia Highsmith,Literary modernism,Psychological thriller
Deep Water (Highsmith novel),Patricia Highsmith,Literary modernism,Psychological thriller
The Talented Mr. Ripley,Patricia Highsmith,Literary modernism,Crime fiction
Ripley's Game,Patricia Highsmith,Literary modernism,Crime fiction
Ripley Under Ground,Patricia Highsmith,Literary modernism,Crime fiction
Ripley Under Water,Patricia Highsmith,Literary modernism,Crime fiction
The Boy Who Followed Ripley,Patricia Highsmith,Literary modernism,Crime fiction
Roderick (novel),John Thomas Sladek,New Wave science fiction,List of science fiction novels
Tik-Tok (novel),John Thomas Sladek,New Wave science fiction,List of science fiction novels
Only Revolutions,Mark Z. Danielewski,Ergodic literature,Literary fiction
Only Revolutions,Mark Z. Danielewski,Postmodern literature,Literary fiction
Underworld (DeLillo novel),Don DeLillo,Postmodern literature,Postmodern literature
House of Leaves,Mark Z. Danielewski,Ergodic literature,Romance novel
House of Leaves,Mark Z. Danielewski,Postmodern literature,Romance novel
The Demon (novel),"Hubert Selby, Jr.",Literary modernism,Fiction
The Demon (novel),"Hubert Selby, Jr.",Beat Generation,Fiction
The Autobiography of Alice B. Toklas,Gertrude Stein,Literary modernism,Autobiography
The Whalestoe Letters,Mark Z. Danielewski,Ergodic literature,Epistolary novel
The Whalestoe Letters,Mark Z. Danielewski,Postmodern literature,Epistolary novel
House of Leaves,Mark Z. Danielewski,Ergodic literature,Horror fiction
House of Leaves,Mark Z. Danielewski,Postmodern literature,Horror fiction
The Good Terrorist,Doris Lessing,Modernism,Political fiction
The Good Terrorist,Doris Lessing,Postmodernism,Political fiction
The Good Terrorist,Doris Lessing,Sufism,Political fiction
House of Leaves,Mark Z. Danielewski,Ergodic literature,Postmodernism
House of Leaves,Mark Z. Danielewski,Postmodern literature,Postmodernism
White Noise (novel),Don DeLillo,Postmodern literature,Postmodernism
House of Leaves,Mark Z. Danielewski,Ergodic literature,Satire
House of Leaves,Mark Z. Danielewski,Postmodern literature,Satire
Shikasta,Doris Lessing,Modernism,Science fiction
The Making of the Representative for Planet 8,Doris Lessing,Modernism,Science fiction
"The Marriages Between Zones Three, Four and Five",Doris Lessing,Modernism,Science fiction
The Sentimental Agents in the Volyen Empire,Doris Lessing,Modernism,Science fiction
Keep the Giraffe Burning,John Thomas Sladek,New Wave science fiction,Science fiction
The Steam-Driven Boy and other Strangers,John Thomas Sladek,New Wave science fiction,Science fiction
Shikasta,Doris Lessing,Postmodernism,Science fiction
The Making of the Representative for Planet 8,Doris Lessing,Postmodernism,Science fiction
"The Marriages Between Zones Three, Four and Five",Doris Lessing,Postmodernism,Science fiction
The Sentimental Agents in the Volyen Empire,Doris Lessing,Postmodernism,Science fiction
Shikasta,Doris Lessing,Sufism,Science fiction
The Making of the Representative for Planet 8,Doris Lessing,Sufism,Science fiction
"The Marriages Between Zones Three, Four and Five",Doris Lessing,Sufism,Science fiction
The Sentimental Agents in the Volyen Empire,Doris Lessing,Sufism,Science fiction
The Fifty Year Sword,Mark Z. Danielewski,Ergodic literature,Short story
The Fifty Year Sword,Mark Z. Danielewski,Postmodern literature,Short story
Requiem for a Dream (novel),"Hubert Selby, Jr.",Literary modernism,Tragedy
Requiem for a Dream (novel),"Hubert Selby, Jr.",Beat Generation,Tragedy
This Sweet Sickness,Patricia Highsmith,Literary modernism,Novel
Dream Story,Arthur Schnitzler,Decadent movement,Novel
Falling Man (novel),Don DeLillo,Postmodern literature,Novel
Amazons (novel),Don DeLillo,Postmodern literature,Novel
Running Dog (novel),Don DeLillo,Postmodern literature,Novel
Americana (novel),Don DeLillo,Postmodern literature,Novel
Cosmopolis (novel),Don DeLillo,Postmodern literature,Novel
Dream Story,Arthur Schnitzler,Modernism,Novel
Black Alice (novel),John Thomas Sladek,New Wave science fiction,Novel
The Blunderer,Patricia Highsmith,Literary modernism,Suspense
A Dog's Ransom,Patricia Highsmith,Literary modernism,Psychological thriller
The Body Artist,Don DeLillo,Postmodern literature,Novella
Ratner's Star,Don DeLillo,Postmodern literature,List of science fiction novels
The M�ller-Fokker Effect,John Thomas Sladek,New Wave science fiction,List of science fiction novels
"The Familiar, Volume 1: One Rainy Day in May",Mark Z. Danielewski,Postmodern literature,Postmodern literature
"The Familiar, Volume 1: One Rainy Day in May",Mark Z. Danielewski,Ergodic literature,Postmodern literature
Last Exit to Brooklyn,"Hubert Selby, Jr.",Literary modernism,Transgressive fiction
Last Exit to Brooklyn,"Hubert Selby, Jr.",Beat Generation,Transgressive fiction
The Sirian Experiments,Doris Lessing,Sufism,Science fiction
The Sirian Experiments,Doris Lessing,Modernism,Science fiction
The Sirian Experiments,Doris Lessing,Postmodernism,Science fiction
The Room (novel),"Hubert Selby, Jr.",Literary modernism,Tragedy
The Willow Tree (novel),"Hubert Selby, Jr.",Beat Generation,Tragedy
The Willow Tree (novel),"Hubert Selby, Jr.",Literary modernism,Tragedy
The Room (novel),"Hubert Selby, Jr.",Beat Generation,Tragedy
End Zone,Don DeLillo,Postmodern literature,Novel
The Cry of the Owl,Patricia Highsmith,Literary modernism,Novel
The Four-Gated City,Doris Lessing,Postmodernism,Novel
The Four-Gated City,Doris Lessing,Sufism,Novel
The Four-Gated City,Doris Lessing,Modernism,Novel
El Busc�n,Francisco de Quevedo,Conceptismo,Picaresque novel
The Enterprise of Death,Jesse Bullington,New Weird,Historical fantasy
Ask the Dust,John Fante,Dirty realism,Roman � clef
The Queue (novel),Vladimir Sorokin,Postmodernism,Fiction
What Is the What,Dave Eggers,Post-postmodernism,Fiction
What Is the What,Dave Eggers,New Sincerity,Fiction
What Is the What,Dave Eggers,Postmodern literature,Fiction
Cartas Chilenas,Tom�s Ant�nio Gonzaga,Neoclassicism,Epistolary novel
Zeitoun (book),Dave Eggers,Post-postmodernism,Non-fiction
Zeitoun (book),Dave Eggers,Postmodern literature,Non-fiction
Zeitoun (book),Dave Eggers,New Sincerity,Non-fiction
El Busc�n,Francisco de Quevedo,Conceptismo,Satire
Bro (novel),Vladimir Sorokin,Postmodernism,Science fiction
The Circle (Eggers novel),Dave Eggers,New Sincerity,Science fiction
The Circle (Eggers novel),Dave Eggers,Postmodern literature,Science fiction
The Circle (Eggers novel),Dave Eggers,Post-postmodernism,Science fiction
O Corti�o,Alu�sio Azevedo,Romanticism,Naturalism (literature)
O Corti�o,Alu�sio Azevedo,Naturalism (literature),Naturalism (literature)
You Shall Know Our Velocity,Dave Eggers,Post-postmodernism,Novel
You Shall Know Our Velocity,Dave Eggers,Postmodern literature,Novel
A Hologram for the King,Dave Eggers,New Sincerity,Novel
A Hologram for the King,Dave Eggers,Postmodern literature,Novel
You Shall Know Our Velocity,Dave Eggers,New Sincerity,Novel
The Oversoul Seven Trilogy,Jane Roberts,New Age,Novel
A Hologram for the King,Dave Eggers,Post-postmodernism,Novel
What Is the What,Dave Eggers,Post-postmodernism,Memoir
A Heartbreaking Work of Staggering Genius,Dave Eggers,Postmodern literature,Memoir
